File 	Number of CSVs 	Lines 	 Cumulative Lines
../source-data/Dimensions-Publication-2020-05-18_13-12-59.csv 	1	5 	5
../source-data/Dimensions-Publication-2020-06-09_13-59-10.csv 	2	276 	281
../source-data/Dimensions-Publication-2020-05-30_19-23-27.csv 	3	238 	519
../source-data/Dimensions-Publication-2020-05-20_03-39-17.csv 	4	192 	711
../source-data/Dimensions-Publication-2020-04-29_23-36-00.csv 	5	115 	826
../source-data/Dimensions-Publication-2020-05-11_16-12-08.csv 	6	170 	996
